"PyDev - Editor","Python Uncomment","Ctrl+\","PyDev editor scope"
"Source","Remove Occurrence Annotations","Shift+Alt+U","Editing Java Source"
"Git","Merge Branch...","Shift+Alt+G M","In Windows"
"Edit","Select All","Ctrl+X H","In Dialogs and Windows"
"Edit","Hide Find Bar","F12","Find Bar"
"Run/Debug","Debug Ant Build","Shift+Alt+D Q","In Windows"
"Navigate","Open Structure","Ctrl+F3","Editing Java Source"
"Git","Disconnect","Shift+Alt+G Delete","In Windows"
"Edit","Search in Enclosing Project","Alt+P","Find Bar"
"Source","Rename In File","Shift+Alt+R","Editing Ant Buildfiles"
"PyDev - Run","Run editor with current interpreter","F9","PyDev editor scope"
"Edit","Search in Open Files","Alt+S","Find Bar"
"Edit","Find Next or Previous (depends on search backward configuration)","Enter","Find Bar"
"Window","Previous Editor (Aptana)","Shift+Ctrl+Tab","In Windows"
"Run/Debug","Go to Address","Ctrl+G","In Table Memory Rendering"
"Git","Revert","Shift+Alt+G R","In Windows"
"Search","Open Search Dialog","Ctrl+H","In Windows"
"Git","Initialize Git repository","Shift+Alt+G T","In Windows"
"Navigate","Open Declaration","F3","In Windows"
"Source","Open External Documentation","Shift+F2","Editing Ant Buildfiles"
"Window","Next View","Ctrl+X O","In Windows"
"Window","Show View Menu","Ctrl+F10","In Dialogs and Windows"
"Edit","Content Assist","Alt+/","In Dialogs and Windows"
"Source","Organize Imports","Shift+Ctrl+O","In Windows"
"Terminal view commands","Terminal view insert","Alt+E","Terminal widget context"
"pepticcategory","Inline Local Variable...","Shift+Alt+I","PyDev editor scope"
"Navigate","Go to Line","Ctrl+X G","Editing Text"
"Run/Debug","Run Ant Build","Shift+Alt+X Q","In Windows"
"Views","Show View (Declaration)","Shift+Alt+Q D","In Windows"
"Terminal view commands","Terminal view insert","Alt+T","Terminal widget context"
"Text Editing","Collapse All","Shift+Ctrl+Numpad_Divide","Editing Text"
"File","Close","Ctrl+W","In Windows"
"Text Editing","To Lower Case","Shift+Ctrl+Y","Editing Text"
"Run/Debug","Run Eclipse Application","Shift+Alt+X E","In Windows"
"Text Editing","Text Start","Esc <","Editing Text"
"PyDev - Editor","Python Un Collapse All","Ctrl+0","PyDev editor scope"
"Text Editing","Select Next Word","Shift+Ctrl+Right","Editing Text"
"Text Editing","Delete Line","Ctrl+D","Editing Text"
"Git","Show in Resource History","Shift+Alt+G H","In Windows"
"Run/Debug","Close Rendering","Ctrl+W","In Memory View"
"Aptana","Mark Occurrences","Shift+Alt+O","Aptana Editor"
"Text Editing","Delete Previous Word","Alt+Backspace","Editing Text"
"Text Editing","Copy Lines","Ctrl+Alt+Down","Editing Text"
"File","Properties","Alt+Enter","In Windows"
"File","Rename","F2","In Windows"
"Views","Show View (Console)","Shift+Alt+Q C","In Windows"
"Git","Diff...","Shift+Alt+G F","In Windows"
"Text Editing","Next Word","Ctrl+Right","Editing Text"
"Edit","Find and Replace","Esc R","In Windows"
"Navigate","Open Resource","Ctrl+T","In Windows"
"Source","Toggle Ant Mark Occurrences","Shift+Alt+O","Editing Ant Buildfiles"
"Text Editing","Delete Next Word","Alt+Delete","Editing Text"
"Project","Build All","Ctrl+B","In Windows"
"Run/Debug","Run Java Applet","Shift+Alt+X A","In Windows"
"Navigate","Quick Outline","Ctrl+O","PDE editor"
"Git","Status","Shift+Alt+G S","In Windows"
"Git","Create Branch...","Shift+Alt+G A","In Windows"
"Edit","Context Information","Alt+?","In Windows"
"Run/Debug","Inspect","Shift+Ctrl+I","Aptana Editor"
"Git","Push all tags to remote...","Shift+Alt+G Numpad_6","In Windows"
"Edit","Find and Replace","Alt+R","In Windows"
"Git","Blame","Shift+Alt+G B","In Windows"
"Edit","Toggle Whole Word Matching","Alt+W","Find Bar"
"Git","Delete Branch...","Shift+Alt+G D","In Windows"
"Run/Debug","Previous Page of Memory","Shift+Ctrl+,","In Table Memory Rendering"
"Source","Toggle Mark Occurrences","Shift+Alt+O","Editing Java Source"
"Source","Format","Shift+Ctrl+F","Editing Java Source"
"Run/Debug","All Instances","Shift+Ctrl+N","In Windows"
"Git","Pull","Shift+Alt+G Left","In Windows"
"Edit","Input Newline in Find Bar","Alt+Enter","Find Bar"
"Edit","Toggle Insert Mode","Shift+Ctrl+Insert","Editing Text"
"Navigate","Previous Sub-Tab","Alt+PageUp","In Dialogs and Windows"
"Text Editing","Duplicate Lines","Ctrl+Alt+Up","Editing Text"
"Terminal view commands","Terminal view insert","Alt+F","Terminal widget context"
"File Transfer","Upload...","Shift+Ctrl+U","In Windows"
"File","Refresh","F5","In Windows"
"Navigate","Next","Ctrl+.","In Windows"
"Text Editing","Text End","Ctrl+End","Editing Text"
"Navigate","Forward History","Alt+Right","In Windows"
"Edit","Find Next or Previous (depends on search backward configuration)","Alt+N","Find Bar"
"Edit","Find Previous","Shift+Enter","Find Bar"
"Window","Next View","Ctrl+F7","In Windows"
"Text Editing","Delete to End of Line","Shift+Ctrl+Delete","Editing Text"
"Window","Previous Editor","Shift+Ctrl+F6","In Windows"
"Source","Add Import","Shift+Ctrl+M","Editing Java Source"
"PyDev - Editor","Python Collapse All","Ctrl+9","PyDev editor scope"
"Terminal view commands","Terminal view insert","Alt+A","Terminal widget context"
"Edit","Cut","Shift+Delete","In Dialogs and Windows"
"File","Close All","Shift+Ctrl+F4","In Windows"
"Git","Create Tag...","Shift+Alt+G Numpad_9","In Windows"
"PyDev - Run","Set Next Statement","Ctrl+Alt+R","In Windows"
"Navigate","Show In...","Shift+Alt+W","In Windows"
"Source","Quick Assist - Assign to field","Ctrl+2 F","Editing Java Source"
"Edit","Word Completion","Alt+/","Editing Text"
"Uncategorized","Deploy App","Ctrl+Alt+D","In Windows"
"Window","Switch to Editor","Ctrl+X Ctrl+B","In Windows"
"Window","Quick Access","Ctrl+3","In Windows"
"Views","Expand to Level ()","Ctrl+Alt+2","Aptana Outline"
"Run/Debug","Step Into Selection","Ctrl+F5","Debugging"
"Views","Show View (Javadoc)","Shift+Alt+Q J","In Windows"
"Edit","Toggle Search Backward","Alt+B","Find Bar"
"Git","Stage","Shift+Alt+G Numpad_Add","In Windows"
"Views","Show View (Type Hierarchy)","Shift+Alt+Q T","In Windows"
"Uncategorized","Find all references","Shift+Ctrl+G","PyDev editor scope"
"Text Editing","Text Start","Alt+<","Editing Text"
"Text Editing","Scroll Line Up","Esc Z","Editing Text"
"Run/Debug","Step Return","F7","Debugging"
"Navigate","Go to Line","Ctrl+L","Editing Text"
"PyDev - Editor","Python Uncomment","Shift+Ctrl+3","PyDev editor scope"
"Run/Debug","Inspect","Shift+Ctrl+I","In Dialogs and Windows"
"Run/Debug","Use Step Filters","Shift+F5","In Windows"
"Run/Debug","Run OSGi Framework","Shift+Alt+X O","In Windows"
"Views","Show View (Outline)","Shift+Alt+Q O","In Windows"
"Text Editing","Expand All","Ctrl+Numpad_Multiply","Editing Text"
"Source","Quick Assist - Assign to local variable","Ctrl+2 L","Editing Java Source"
"Run/Debug","Debug Java Application","Shift+Alt+D J","In Windows"
"Navigate","Open Manifest","Shift+Ctrl+Alt+M","In Windows"
"Views","Expand to Level ()","Ctrl+Alt+6","Aptana Outline"
"Text Editing","To Upper Case","Shift+Ctrl+X","Editing Text"
"Text Editing","Page Up","Esc V","Editing Text"
"Navigate","Open Resource","Shift+Ctrl+R","In Windows"
"Git","Push","Shift+Alt+G Right","In Windows"
"Run/Debug","Add Memory Block","Ctrl+Alt+M","In Memory View"
"Text Editing","Goto Matching Bracket","Shift+Ctrl+P","Aptana Editor"
"Views","Show View (Package Explorer)","Shift+Alt+Q P","In Windows"
"Text Editing","Previous Word","Esc B","Editing Text"
"Git","Unstash","Shift+Alt+G U","In Windows"
"Uncategorized","Display Command","Shift+Ctrl+D","PyDev editor scope"
"File","Print","Esc F9","In Windows"
"Text Editing","Line Up","Ctrl+P","Editing Text"
"Edit","Copy","Esc W","In Dialogs and Windows"
"Edit","Redo","Shift+Ctrl++","In Windows"
"Text Editing","Swap Mark","Ctrl+X Ctrl+X","Editing Text"
"Text Editing","Cut to End of Line","Ctrl+K","In Windows"
"Navigate","Show In Breadcrumb","Shift+Alt+B","Editor Breadcrumb Navigation"
"Text Editing","Previous Word","Alt+B","Editing Text"
"pepticcategory","Extract Local Variable...","Shift+Alt+L","PyDev editor scope"
"Edit","Find Bar Focus Find or Open Eclipse Search Dialog (depends on configuration)","Ctrl+F","Find Bar"
"Source","Toggle Comment","Shift+Ctrl+C","Editing Properties Files"
"Git","Commit...","Shift+Alt+G C","In Windows"
"Run/Debug","Force Return","Shift+Alt+F","In Windows"
"Navigate","Next Page","Alt+F7","In Windows"
"Window","Quick Switch Editor","Ctrl+E","In Windows"
"Text Editing","Delete Next Word","Alt+D","Editing Text"
"Navigate","Open Attached Javadoc","Shift+F2","In Windows"
"Text Editing","Line Start","Ctrl+A","Editing Text"
"Edit","Restore Last Selection","Shift+Alt+Down","Editing Java Source"
"Edit","Find Next or Previous (depends on search backward configuration)","Numpad_Enter","Find Bar"
"pepticcategory","Extract Method...","Shift+Alt+T E","PyDev editor scope"
"Window","Quick Switch Editor","Ctrl+X B","In Windows"
"Text Editing","Line End","End","Editing Text"
"Views","Show View (Error Log)","Shift+Alt+Q L","In Windows"
"Text Editing","Scroll Line Down","Ctrl+Down","Editing Text"
"Edit","Copy","Alt+W","In Dialogs and Windows"
"Run/Debug","Step Over","F6","Debugging"
"Edit","Toggle Regular Expression Matching","Alt+X","Find Bar"
"Edit","Select Next Element","Shift+Alt+Right","Editing Java Source"
"Text Editing","Insert Line Above Current Line","Shift+Ctrl+Enter","Editing Text"
"Text Editing","Reset Structure","Shift+Ctrl+Numpad_Multiply","Editing Text"
"Source","Quick Assist - Rename in file","Ctrl+2 R","Editing Java Source"
"Run/Debug","Debug JUnit Plug-in Test","Shift+Alt+D P","In Windows"
"Navigate","Previous","Ctrl+,","In Windows"
"Views","Expand to Level ()","Ctrl+Alt+3","Aptana Outline"
"Views","Show View (Synchronize)","Shift+Alt+Q Y","In Windows"
"Edit","Delete","Delete","In Windows"
"Text Editing","Previous Word","Ctrl+Left","Editing Text"
"Window","Activate Editor","F12","In Windows"
"Run/Debug","Display","Shift+Ctrl+V","In Dialogs and Windows"
"Navigate","Quick Hierarchy","Ctrl+T","Editing Java Source"
"Text Editing","Delete Previous Word","Esc Backspace","Editing Text"
"PyDev - Editor","Python Show Outline","Ctrl+O","PyDev editor scope"
"Views","Show View (Search)","Shift+Alt+Q S","In Windows"
"Source","Toggle Comment","Ctrl+/","Editing Properties Files"
"Edit","Select All","Ctrl+A","In Dialogs and Windows"
"Navigate","Open Type","Shift+Ctrl+T","In Windows"
"Run/Debug","Terminate","Ctrl+F2","Debugging"
"Edit","Content Assist","Ctrl+Space","In Dialogs and Windows"
"Navigate","Go to Next Member","Shift+Ctrl+Down","Editing Java Source"
"Navigate","Open Declaration","F3","PHP Source Editing"
"Navigate","Open Type Hierarchy","F4","In Windows"
"Text Editing","Text Start","Esc Shift+<","Editing Text"
"Terminal view commands","Terminal view insert","Alt+S","Terminal widget context"
"File","Close","Ctrl+F4","In Windows"
"PyDev - Editor","Python Toggle Comment","Ctrl+/","PyDev editor scope"
"Text Editing","Toggle Folding","Ctrl+Numpad_Divide","Editing Text"
"pepticcategory","Generate Properties...","Shift+Alt+T P","PyDev editor scope"
"Text Editing","Line Start","Home","Editing Text"
"Window","Next Perspective","Ctrl+F8","In Windows"
"File","New menu","Shift+Alt+N","In Windows"
"Git","Compare With HEAD","Shift+Alt+G .","In Windows"
"Edit","Quick Diff Toggle","Shift+Ctrl+Q","Editing Text"
"Edit","Paste","Shift+Insert","In Dialogs and Windows"
"Run/Debug","Next Memory Monitor","Ctrl+Alt+N","In Memory View"
"Views","Expand All","Ctrl+Alt++","Aptana Outline"
"Refactor - Java","Extract Local Variable","Shift+Alt+L","In Windows"
"Edit","Find Previous","Shift+Ctrl+K","Find Bar"
"Edit","Paste","Ctrl+V","In Dialogs and Windows"
"Text Editing","Scroll Line Down","Ctrl+Z","Editing Text"
"Navigate","Go to Previous Member","Shift+Ctrl+Up","Editing Java Source"
"Edit","Find and Replace","Ctrl+F","In Windows"
"Spy","Plug-in Selection Spy","Shift+Alt+F1","In Dialogs and Windows"
"Window","Show Ruler Context Menu","Ctrl+F10","Editing Text"
"Run/Debug","Resume","F8","Debugging"
"Text Editing","Scroll Line Up","Ctrl+Up","Editing Text"
"Aptana","Open PHP Type","Shift+Ctrl+T","PHP Source Editing"
"Text Editing","Scroll Line Up","Alt+Z","Editing Text"
"Text Editing","Page Up","Alt+V","Editing Text"
"Edit","Find Next or Previous (depends on search backward configuration)","F3","Find Bar"
"Window","Show Contributing Plug-in","Shift+Alt+F3","In Dialogs and Windows"
"PyDev - Editor","Remove Comment Block","Ctrl+5","PyDev editor scope"
"Text Editing","Move Lines Down","Alt+Down","Editing Text"
"Edit","Incremental Find Reverse","Shift+Ctrl+J","Editing Text"
"Edit","Input Newline in Find Bar","Shift+Alt+Enter","Find Bar"
"Views","Expand to Level ()","Ctrl+Alt+1","Aptana Outline"
"PyDev - Editor","Python Show Global Tokens (Editor)","Shift+Ctrl+T","PyDev editor scope"
"Navigate","Expand All","Shift+Ctrl+Numpad_Multiply","In Windows"
"Run/Debug","Run JUnit Plug-in Test","Shift+Alt+X P","In Windows"
"PyDev - Editor","Python Show Global Tokens (Global)","Shift+Ctrl+T","PyDev view"
"PyDev - Run","Run custom tests","Ctrl+F9","PyDev editor scope"
"Edit","Copy","Ctrl+Insert","In Dialogs and Windows"
"Navigate","Open Resource","Ctrl+X Ctrl+F","In Windows"
"Window","Show Key Assist","Shift+Ctrl+L","In Dialogs and Windows"
"Run/Debug","Run","Ctrl+F11","In Windows"
"Git","Squash Merge Branch...","Shift+Alt+G Q","In Windows"
"Edit","Incremental Find","Ctrl+J","Editing Text"
"Edit","Find Previous","Shift+Ctrl+K","Editing Text"
"Window","Next Editor","Ctrl+F6","In Windows"
"Source","Toggle Comment","Ctrl+7","Editing Properties Files"
"Text Editing","Expand","Ctrl+Numpad_Add","Editing Text"
"Text Editing","Select Previous Word","Shift+Ctrl+Left","Editing Text"
"Text Editing","Text End","Ctrl+X ]","Editing Text"
"Text Editing","Text End","Alt+>","Editing Text"
"pepticcategory","Generate Constructor using Fields...","Shift+Alt+T C","PyDev editor scope"
"Edit","Find Bar Focus Replace","Alt+E","Find Bar"
"PyDev - Editor","Python Collapse","Ctrl+-","PyDev editor scope"
"Edit","Toggle Show Match Count","Alt+M","Find Bar"
"Search","Show Occurrences in File Quick Menu","Shift+Ctrl+U","In Windows"
"pepticcategory","Extract Method...","Shift+Alt+M","PyDev editor scope"
"File","Save All","Ctrl+X S","In Windows"
"Run/Debug","Debug JUnit Test","Shift+Alt+D T","In Windows"
"Text Editing","Text Start","Shift+Alt+<","Editing Text"
"PyDev - Editor","Add Single Comment Block","Shift+Ctrl+4","PyDev editor scope"
"Edit","Search in Workspace","Alt+K","Find Bar"
"Edit","Hide Find Bar","Esc","Find Bar"
"File","Save","Ctrl+S","In Windows"
"Navigate","Open Plug-in Artifact","Shift+Ctrl+A","In Windows"
"Source","Show Source Quick Menu","Shift+Alt+S","In Windows"
"Uncategorized","Add Artifact to Target Platform","Shift+Ctrl+Alt+A","In Windows"
"Source","Remove Block Comment","Shift+Ctrl+\","Editing Java Source"
"Text Editing","Line Down","Ctrl+N","Editing Text"
"Text Editing","Text Start","Ctrl+X [","Editing Text"
"Navigate","Show In Breadcrumb","Shift+Alt+B","Editing Java Source"
"Search","Declaration in Workspace","Ctrl+G","In Windows"
"Views","Show View (Cheat Sheets)","Shift+Alt+Q H","In Windows"
"Run/Debug","Run Java Application","Shift+Alt+X J","In Windows"
"Text Editing","Join Lines","Ctrl+Alt+J","Editing Text"
"Text Editing","Show Whitespace Characters","Ctrl+Alt+W","Aptana Editor"
"PyDev - Run","Relaunch last pydev launch","Shift+Ctrl+F9","PyDev editor scope"
"Views","Expand to Level ()","Ctrl+Alt+8","Aptana Outline"
"pepticcategory","Extract Local Variable...","Shift+Alt+T L","PyDev editor scope"
"Refactor - Java","Extract Method","Shift+Alt+M","In Windows"
"Text Editing","Cut to Beginning of Line","Esc 0 Ctrl+K","Editing Text"
"Text Editing","Delete Previous Word","Ctrl+Backspace","Editing Text"
"Git","Add to .gitignore","Shift+Alt+G I","In Windows"
"Views","Show View (Variables)","Shift+Alt+Q V","In Windows"
"Edit","Format","Esc Ctrl+F","Aptana Editor"
"PyDev - Editor","Python Organize Imports","Shift+Ctrl+O","PyDev editor scope"
"Views","Expand to Level ()","Ctrl+Alt+9","Aptana Outline"
"Source","Add Javadoc Comment","Shift+Alt+J","In Windows"
"Run/Debug","Step Into","F5","Debugging"
"Edit","Redo","Ctrl+X R","In Windows"
"Git","Switch Branch...","Shift+Alt+G W","In Windows"
"PyDev - Editor","Python Go To Definition","F3","PyDev editor scope"
"Spy","Plug-in Menu Spy","Shift+Alt+F2","In Dialogs and Windows"
"Text Editing","Cut to Beginning of Line","Alt+0 Ctrl+K","Editing Text"
"Run/Debug","Debug Ruby Application","Shift+Alt+D R","In Windows"
"Navigate","Quick Outline","Ctrl+O","Editing Java Source"
"Text Editing","Delete Next Word","Esc D","Editing Text"
"Git","Compare With Revision...","Shift+Alt+G V","In Windows"
"Edit","Undo","F9","In Windows"
"Navigate","Go to Matching Bracket","Shift+Ctrl+P","Editing Java Source"
"Text Editing","Text End","Esc >","Editing Text"
"Run/Debug","Display","Shift+Ctrl+D","In Dialogs and Windows"
"PyDev - Editor","Show Python Class Hierarchy","F4","PyDev editor scope"
"Text Editing","Collapse","Ctrl+Numpad_Subtract","Editing Text"
"Edit","Context Information","Shift+Alt+?","In Windows"
"Edit","Toggle Search Selection","Alt+L","Find Bar"
"Text Editing","Insert Line Below Current Line","Shift+Enter","Editing Text"
"Text Editing","Next Word","Alt+F","Editing Text"
"Navigate","Open Type in Hierarchy","Shift+Ctrl+H","In Windows"
"Git","Merge Conflicts...","Shift+Alt+G X","In Windows"
"Window","Previous Perspective","Shift+Ctrl+F8","In Windows"
"Views","Show View","Shift+Alt+Q Q","In Windows"
"Edit","Context Information","Shift+Ctrl+Space","In Dialogs and Windows"
"File","Close","Ctrl+X K","In Windows"
"Source","Format","Shift+Ctrl+F","Editing Ant Buildfiles"
"PyDev - Run","Terminate all launches","Ctrl+Alt+F9","PyDev editor scope"
"Run/Debug","New Rendering","Ctrl+N","In Memory View"
"Source","Surround With Quick Menu","Shift+Alt+Z","In Windows"
"Text Editing","Text Start","Ctrl+Home","Editing Text"
"Edit","Find Previous","Shift+Numpad_Enter","Find Bar"
"File","Print","Ctrl+P","In Windows"
"Run/Debug","Next Page of Memory","Shift+Ctrl+.","In Table Memory Rendering"
"Edit","Undo","Shift+Ctrl+-","In Windows"
"Run/Debug","Debug Eclipse Application","Shift+Alt+D E","In Windows"
"Text Editing","Select Line Start","Shift+Home","Editing Text"
"File","Close All","Ctrl+X Ctrl+C","In Windows"
"Views","Show View (Breakpoints)","Shift+Alt+Q B","In Windows"
"Edit","Select Enclosing Element","Shift+Alt+Up","Editing Java Source"
"Rails","Run Server","Shift+Ctrl+\","In Windows"
"Text Editing","Line End","Ctrl+E","Editing Text"
"Uncategorized","Quick Outline","Ctrl+O","Aptana Editor"
"File","New","Ctrl+N","In Windows"
"Edit","Format","Shift+Ctrl+F","Aptana Editor"
"Terminal view commands","Terminal view insert","Alt+N","Terminal widget context"
"Text Editing","Toggle Overwrite","Insert","Editing Text"
"Edit","Select Previous Element","Shift+Alt+Left","Editing Java Source"
"Edit","Toggle Block Selection","Shift+Alt+A","Editing Text"
"Text Editing","Delete Next Word","Ctrl+Delete","Editing Text"
"Terminal view commands","Terminal view insert","Alt+G","Terminal widget context"
"PyDev - Editor","Next Method or Class","Shift+Ctrl+Down","PyDev editor scope"
"Git","Add Remote...","Shift+Alt+G E","In Windows"
"Run/Debug","Run JUnit Test","Shift+Alt+X T","In Windows"
"Refactor - Java","Inline","Shift+Alt+I","In Windows"
"Navigate","Last Edit Location","Ctrl+Q","In Windows"
"Run/Debug","Debug OSGi Framework","Shift+Alt+D O","In Windows"
"Text Editing","Recenter","Ctrl+L","Editing Text"
"PyDev - Editor","Python Comment","Ctrl+3","PyDev editor scope"
"Search","References in Workspace","Shift+Ctrl+G","In Windows"
"Navigate","Backward History","Alt+Left","In Windows"
"Run/Debug","Debug Java Applet","Shift+Alt+D A","In Windows"
"Edit","Undo","Ctrl+Z","In Dialogs and Windows"
"Run/Debug","Debug","F11","In Windows"
"Text Editing","Clear Mark","Ctrl+G","Editing Text"
"Git","Push to Remote...","Shift+Alt+G P","In Windows"
"Navigate","Next Sub-Tab","Alt+PageDown","In Dialogs and Windows"
"Edit","Copy","Ctrl+C","In Dialogs and Windows"
"Terminal view commands","Terminal view insert","Alt+H","Terminal widget context"
"Edit","Quick Fix","Ctrl+1","In Dialogs and Windows"
"Terminal view commands","Terminal view insert","Alt+V","Terminal widget context"
"Edit","Undo","Ctrl+X U","In Windows"
"Git","Unstage","Shift+Alt+G Numpad_Subtract","In Windows"
"Source","Toggle Comment","Ctrl+7","Editing Java Source"
"Run/Debug","Toggle Memory Monitors Pane","Ctrl+T","In Memory View"
"Navigate","Previous Page","Shift+Alt+F7","In Windows"
"File","Close All","Shift+Ctrl+W","In Windows"
"Git","Rebase...","Shift+Alt+G Numpad_Divide","In Windows"
"Run/Debug","Execute","Ctrl+U","In Windows"
"Refactor - Java","Change Method Signature","Shift+Alt+C","In Windows"
"Window","Switch to Editor","Shift+Ctrl+E","In Windows"
"Terminal view commands","Terminal view insert","Alt+P","Terminal widget context"
"Text Editing","Previous Column","Ctrl+B","Editing Text"
"Text Editing","Text End","Shift+Alt+>","Editing Text"
"pepticcategory","Inline Local Variable...","Shift+Alt+T I","PyDev editor scope"
"Source","Toggle Comment","Shift+Ctrl+C","Editing Java Source"
"Views","Expand to Level ()","Ctrl+Alt+7","Aptana Outline"
"PyDev - Editor","Select Enclosing Scope","Shift+Alt+Up","PyDev editor scope"
"Text Editing","Select Line End","Shift+End","Editing Text"
"Git","Show Github Network","Shift+Alt+G G","In Windows"
"PyDev - Editor","Interactive Console","Ctrl+Alt+Enter","PyDev editor scope"
"Views","Collapse All","Ctrl+Alt+-","Aptana Outline"
"Views","Expand to Level ()","Ctrl+Alt+5","Aptana Outline"
"Edit","Redo","F10","In Windows"
"Text Editing","Delete Next","Ctrl+D","Editing Text"
"Text Editing","Next Column","Ctrl+F","Editing Text"
"Edit","Search in Current File","Alt+T","Find Bar"
"Run/Debug","Run to Line","Ctrl+R","Debugging"
"Search","Find Text in Workspace","Ctrl+Alt+G","In Windows"
"Run/Debug","Run Ruby Application","Shift+Alt+X R","In Windows"
"Views","Show View (Problems)","Shift+Alt+Q X","In Windows"
"Window","Maximize Active View or Editor","Ctrl+M","In Windows"
"Views","Show View (History)","Shift+Alt+Q Z","In Windows"
"Terminal view commands","Terminal view insert","Alt+R","Terminal widget context"
"Refactor - Java","Move - Refactoring ","Shift+Alt+V","In Windows"
"Views","Expand to Level ()","Ctrl+Alt+4","Aptana Outline"
"PyDev - Editor","Add Comment Block","Ctrl+4","PyDev editor scope"
"File","Save All","Shift+Ctrl+S","In Windows"
"Source","Toggle Comment","Ctrl+/","Editing Java Source"
"Refactor - Java","Show Refactor Quick Menu","Shift+Alt+T","In Windows"
"Text Editing","Show Tooltip Description","F2","Editing Text"
"Edit","Filter Through Command","Ctrl+Alt+R","Editing Text"
"Text Editing","Set Mark","Ctrl+Space","Editing Text"
"Navigate","Open Call Hierarchy","Ctrl+Alt+H","In Windows"
"Edit","Cut","Ctrl+X","In Dialogs and Windows"
"Edit","Incremental Find","Ctrl+S","Editing Text"
"Uncategorized","Perform Commit","Ctrl+Enter","Git Commit Dialog"
"PyDev - Editor","Deselect Enclosing Scope","Shift+Alt+Down","PyDev editor scope"
"Edit","Cut","Ctrl+W","In Dialogs and Windows"
"PyDev - Editor","Go to Matching Bracket","Shift+Ctrl+P","PyDev editor scope"
"Text Editing","Set Mark","Ctrl+2","Editing Text"
"File Transfer","Download...","Shift+Ctrl+D","In Windows"
"Run/Debug","Java Breakpoint Properties","Alt+Enter","In Breakpoints View"
"Edit","Find Bar Focus Find","Alt+F","Find Bar"
"Window","Show System Menu","Alt+-","In Windows"
"Edit","Toggle Case Sensitive Matching","Alt+C","Find Bar"
"Edit","Incremental Find Reverse","Ctrl+R","Editing Text"
"Text Editing","Move Lines Up","Alt+Up","Editing Text"
"Source","Add Block Comment","Shift+Ctrl+/","Editing Java Source"
"Run/Debug","EOF","Ctrl+D","In I/O Console"
"PyDev - Editor","Python Format Code","Shift+Ctrl+F","PyDev editor scope"
"Window","Next Editor (Aptana)","Ctrl+Tab","In Windows"
"Terminal view commands","Terminal view insert","Alt+W","Terminal widget context"
"Run/Debug","Toggle Breakpoint","Shift+Ctrl+B","In Windows"
"Manifest Editor Source","Format Source","Shift+Ctrl+F","PDE editor"
"File","Save","Ctrl+X Ctrl+S","In Windows"
"pepticcategory","Override/Implement Methods...","Shift+Alt+T O","PyDev editor scope"
"Text Editing","Next Word","Esc F","Editing Text"
"pepticcategory","Rename...","Shift+Alt+R","PyDev editor scope"
"Navigate","Open Declaration","F3","Aptana Scriptable Context"
"Git","Delete Remote...","Shift+Alt+G 3","In Windows"
"Text Editing","Text End","Esc Shift+>","Editing Text"
"Navigate","Collapse All","Shift+Ctrl+Numpad_Divide","In Windows"
"Edit","Paste","Ctrl+Y","In Dialogs and Windows"
"Edit","Redo","Shift+Ctrl+Z","In Dialogs and Windows"
"Rails","Debug Server","Shift+Ctrl+D","In Windows"
"File","Print","Alt+F9","In Windows"
"Git","Stash","Shift+Alt+G J","In Windows"
"PyDev - Editor","Python Un Collapse","Ctrl+=","PyDev editor scope"
"PyDev - Editor","Offline Action for scripting","Ctrl+2","PyDev editor scope"
"Refactor - Java","Rename - Refactoring ","Shift+Alt+R","In Windows"
"Text Editing","Page Down","Ctrl+V","Editing Text"
"PyDev - Editor","Previous Method or Class","Shift+Ctrl+Up","PyDev editor scope"
"Source","Correct Indentation","Ctrl+I","Editing Java Source"
"Window","Previous View","Shift+Ctrl+F7","In Windows"
"Edit","Show Find Bar Options","Alt+O","Find Bar"
